ticker,wiki_name,sec_name,yf_name,overlap,exchange,currency,quote_type,first_price,member_start,member_end,level,n_levels,flag,reason
ALTR,Altera,ALTERA CORP,,,,,NONE,,1900-01-01,2015-12-28,,,false,""
ALXN,Alexion Pharmaceuticals,"ALEXION PHARMACEUTICALS INC|ALEXION PHARMACEUTICALS, INC.",,,,,NONE,,2012-05-21,2021-07-20,,,false,""
AMD,Advanced Micro Devices,ADVANCED MICRO DEVICES INC,"Advanced Micro Devices, Inc.",1.0,NMS,USD,EQUITY,2008-01-02,1900-01-01,2013-09-19,1.1926174759787918,4,false,""
AMG,Affiliated Managers Group,"AFFILIATED MANAGERS GROUP INC|AFFILIATED MANAGERS GROUP, INC.","Affiliated Managers Group, Inc.",1.0,NYQ,USD,EQUITY,2008-01-02,2014-07-01,2019-12-22,1.004776481986536,5,false,""
AMTM,Amentum,"AMENTUM HOLDINGS, INC.","Amentum Holdings, Inc.",1.0,NYQ,USD,EQUITY,2024-09-24,2024-09-30,2024-12-22,1.0000000032377994,1,false,""
AN,Amoco|AutoNation,"AUTONATION, INC.","AutoNation, Inc.",1.0,NYQ,USD,EQUITY,2008-01-02,1900-01-01,2017-08-07,1.7788970043601986,8,false,""
ANDV,Andeavor,ANDEAVOR|TESORO CORP /NEW/,Andeavor,1.0,YHD,,MUTUALFUND,2008-01-02,1900-01-01,2018-09-30,1.0059848293340923,8,false,""
ANF,Abercrombie & Fitch,ABERCROMBIE & FITCH CO /DE/,Abercrombie & Fitch Co.,1.0,NYQ,USD,EQUITY,2008-01-02,1900-01-01,2013-12-22,1.0145221582723392,3,false,""
ANR,Alpha Natural Resources,"ALPHA NATURAL RESOURCES, INC.",703931,,YHD,,MUTUALFUND,,2011-06-01,2012-10-01,,,false,""
ANSS,Ansys,ANSYS INC,,,,,,,2017-06-19,2025-07-17,,,false,no_info
APC,Anadarko Petroleum,ANADARKO PETROLEUM CORP,ARKO Petroleum Corp.,0.5,NCM,USD,EQUITY,,1900-01-01,2019-08-08,,,false,""
APOL,Apollo Education Group,APOLLO EDUCATION GROUP INC|APOLLO GROUP INC,1912746,,YHD,,MUTUALFUND,,1900-01-01,2013-06-30,,,false,""
ARG,Airgas,AIRGAS INC,,,,,,,2009-09-28,2016-05-22,,,false,no_info
ARNC,Arconic,ALCOA INC|ARCONIC INC.|HOWMET AEROSPACE INC.,,,,,NONE,,2016-11-01,2020-03-31,,,false,""
ATI,Allegheny Technologies,ALLEGHENY TECHNOLOGIES INC|ATI INC,ATI Inc.,1.0,NYQ,USD,EQUITY,2008-01-02,1900-01-01,2015-07-01,1.007369031458066,7,false,""
