ticker,cik,fy,float_date,month,close,shares,shares_source,cap,public_float,ratio,flag,reason
LVLT,794323,2013,2013-06-30,2013-06-30,,,,,2429000000.0,,"",""
LVLT,794323,2014,2014-06-30,2014-06-30,,,,,5814000000.0,,"",""
LVLT,794323,2015,2015-06-30,2015-06-30,,,,,13018000000.0,,"",""
LVLT,794323,2016,2016-06-30,2016-06-30,,,,,15008000000.0,,"",""
LVLT,794323,2017,2017-06-30,2017-06-30,,,,,17500000000.0,,"",""
LVS,1300514,2010,2010-06-30,2010-06-30,22.139999389648438,,,,7009236556.0,,"",""
LVS,1300514,2011,2011-06-30,2011-06-30,42.209999084472656,728978326.0,cover,30770174473.06041,16293500250.0,1.888493816610118,"",""
LVS,1300514,2012,2012-06-29,2012-05-31,46.18000030517578,822739856.0,cover,37994126801.16028,16976890088.0,2.2379909750382474,"",""
LVS,1300514,2013,2013-06-28,2013-05-31,57.900001525878906,824860248.0,cover,47759409617.83685,20743792754.0,2.3023470290228127,"",""
LVS,1300514,2014,2014-06-30,2014-06-30,76.22000122070312,807872356.0,cover,61576031960.49231,28447596393.0,2.1645425191579317,"",""
LVS,1300514,2015,2015-06-30,2015-06-30,52.56999969482422,798636267.0,cover,41984308312.46555,19152622288.0,2.1920919068492597,"",""
LVS,1300514,2016,2016-06-30,2016-06-30,43.4900016784668,794718776.0,cover,34562320902.14908,15754034137.0,2.1938711444693295,"",""
LVS,1300514,2017,2017-06-30,2017-06-30,63.88999938964844,792268004.0,cover,50618002291.997986,22931433772.0,2.2073631677494214,"",""
LVS,1300514,2018,2018-06-29,2018-05-31,80.61000061035156,789187996.0,cover,63616444839.24213,27125139905.0,2.3452946256515217,"",""
LVS,1300514,2019,2019-06-28,2019-05-31,55.0,772804476.0,cover,42504246180.0,19894504221.0,2.1364817995883447,"",""
LVS,1300514,2020,2020-06-30,2020-06-30,45.540000915527344,763729715.0,cover,34780251920.31544,15059203280.0,2.309567861834151,"",""
LVS,1300514,2021,2021-06-30,2021-06-30,52.689998626708984,763964648.0,cover,40253296253.97421,17432074780.0,2.3091511918109275,"",""
LVS,1300514,2022,2022-06-30,2022-06-30,33.59000015258789,764109163.0,cover,25666426901.763805,11116269494.0,2.3089065010179217,"",""
LVS,1300514,2023,2023-06-30,2023-06-30,58.0,764271386.0,cover,44327740388.0,19205929006.0,2.308023755276397,"",""
LVS,1300514,2024,2024-06-28,2024-05-31,45.029998779296875,745047150.0,cover,33549472255.018616,15458744890.0,2.170258484356075,"",""
LVS,1300514,2025,2025-06-30,2025-06-30,43.5099983215332,706627556.0,cover,30745363775.50911,13023793216.0,2.3607073043618194,"",""
LW,1679273,2017,2016-11-27,2016-10-31,,,,,4760000000.0,,"",""
LW,1679273,2018,2017-11-26,2017-10-31,50.9900016784668,146196958.0,cover,7454583133.80674,7960000000.0,0.9365054188199422,"",""
LW,1679273,2019,2018-11-23,2018-10-31,78.16000366210938,146454635.0,cover,11446894807.932892,11900000000.0,0.9619239334397388,"",""
LW,1679273,2020,2019-11-22,2019-10-31,78.04000091552734,146062722.0,cover,11398734958.604416,12100000000.0,0.9420442114549104,"",""
