ticker,sector,months,mean_gap,crossings,replica_op,naive_op,operating_income_fallback,log_pretax_over_ni_plus_tax,interest_over_ni_plus_tax,log_equity_fy_over_equity,driver
MOLX,Information Technology,11,0.06897376912985,0,0.16395891636463733,0.16395891636463733,0.0,0.0,0.0,0.0323665785995257,none of the three (rank gap under noise)
PSKY,Communication Services,36,0.06891874073303088,0,0.2906883403572145,0.32440297009833435,0.0,0.03780040247523557,0.13160658032901645,0.08359023099115859,interest add-back
WDC,Information Technology,36,0.06880953710829274,0,0.19814521601447635,0.19814521601447635,0.0,0.0,0.0,0.042512489731577334,none of the three (rank gap under noise)
AKAM,Industrials,36,0.06774313301488738,0,0.159560756680818,0.159560756680818,0.0,0.0,0.0,0.0379966975158917,none of the three (rank gap under noise)
TRV,Financials,36,0.06769201289446422,0,0.1994273269882239,0.1994273269882239,0.0,0.0,0.0,0.020951741127190535,none of the three (rank gap under noise)
D,Utilities,36,0.06752142267751327,0,0.15387278234530508,0.1524881003894418,0.0,0.043460457411316995,0.0,0.02799212434407706,none of the three (rank gap under noise)
DO,Energy,36,0.06719255965517226,0,0.16696073412348417,0.16696073412348417,0.0,0.0,0.0,0.019034135850146308,none of the three (rank gap under noise)
WM,Utilities,36,0.06702475828691519,0,0.20506767390620081,0.19830028328611898,0.027777777777777776,0.033557577179321535,0.0,0.03027265440500568,none of the three (rank gap under noise)
PCG,Utilities,36,0.06696334625177665,0,0.081612360409974,0.13729539544133396,0.0,0.0,0.6437728937728938,0.03738332173144594,interest add-back
NOV,Industrials,36,0.06677258798100172,0,0.16885752947999227,0.17599683778842828,0.6944444444444444,0.013361961417901832,0.029652640497034737,0.031247335447492475,pretax_income (missing; operating income used)
DHI,Consumer Discretionary,36,0.0665535547652569,0,0.1591539935103014,0.1591539935103014,0.0,0.0,0.0,0.04901368812334531,none of the three (rank gap under noise)
ED,Utilities,35,0.06627801975633714,0,0.1319974554707379,0.1319974554707379,0.0,0.0,0.0,0.0,none of the three (rank gap under noise)
LEN,Consumer Discretionary,36,0.06599564075567318,0,0.1635781228673936,0.15752089099741154,0.0,0.03773260119942717,0.0,0.0372238393357269,none of the three (rank gap under noise)
SNI,Communication Services,22,0.06567438106296503,0,0.6077319194126998,0.49968443645178545,0.0,0.19616959834638978,0.0,0.06111343350698921,pretax_income
SYK,Health Care,36,0.06563931824244416,0,0.13496218731820825,0.13496218731820825,0.0,0.0,0.0,0.010526412986987603,none of the three (rank gap under noise)
GRMN,Industrials,36,0.06557901431844361,0,0.17858210468272587,0.17858210468272587,0.0,0.0,0.0,0.024604756090267004,none of the three (rank gap under noise)
MOS,Materials,34,0.06545772961984024,0,0.16494853039760454,0.16608071267895183,0.0,0.005829844664510425,0.0,0.03731694710909307,none of the three (rank gap under noise)
